;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
72006; Crosover vs 72009|;2.915259;4.732126;4.414734
67008; Crosover vs 67006|;2.915215;4.732008;4.414733
72007;;2.915218;4.732033;4.414715
71008; Crosover vs 71009|;2.91522;4.732056;4.414694
71004; Crosover vs 71006|;2.91521;4.732044;4.414675
68008;;2.91526;4.732211;4.414639
70001;;2.915257;4.732215;4.414598
75009;;2.915344;4.732458;4.414596
65005; Crosover vs 65002|;2.915254;4.73222;4.414555
71003; Crosover vs 71009|;2.915428;4.732707;4.414547
68010; Crosover vs 68001| Crosover vs 68003| Crosover vs 68007|;2.915267;4.732309;4.414546
75008; BlueNoize |;2.744009;4.446464;4.164963
75005; Crosover vs 75006| Shift |;2.757299;5.001316;3.517186
75003; Shift |;2.757325;5.001595;3.516932
75001; BlueNoize | Shift |;2.597396;4.706224;3.31951
75006; Crosover vs 75005| BlueNoize | Shift |;2.597425;4.706422;3.319366
75010; BlueNoize | Shift |;2.597431;4.706466;3.31933
75007; BlueNoize | Shift |;2.597437;4.706494;3.319309
75004; FlikkerNoize |;2.494115;5.502053;1.702208
75002; FlikkerNoize |;2.494048;5.501947;1.702084
