;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
61004; Crosover vs 61006|;2.915357;4.732606;4.414526
52002; Crosover vs 52005|;2.915934;4.733933;4.414411
62009; Crosover vs 62004|;2.915236;4.732441;4.414388
60008; Crosover vs 60004|;2.915263;4.732697;4.41437
57006;;2.915467;4.732881;4.414345
62004; Crosover vs 62009|;2.915384;4.73287;4.414338
62002; Crosover vs 62008|;2.915452;4.73297;4.414323
59007;;2.915226;4.732367;4.414265
62006; Crosover vs 62003|;2.915295;4.732633;4.414256
62003; Crosover vs 62006|;2.915484;4.733161;4.414224
63005; Crosover vs 63006|;2.915396;4.73313;4.414079
63003; BlueNoize |;2.697049;4.389826;4.069572
63010; Crosover vs 63008| BlueNoize |;2.697026;4.389849;4.069504
63009; Shift |;2.769797;5.18505;3.316265
63008; Crosover vs 63010| Shift |;2.769814;5.185215;3.316119
63004; BlueNoize | Shift |;2.554613;4.773463;3.067311
63001; BlueNoize | Shift |;2.554565;4.773304;3.067272
63002; BlueNoize | Shift |;2.554577;4.773358;3.067254
63007; FlikkerNoize |;2.362993;5.140006;1.670638
63006; Crosover vs 63005| FlikkerNoize | Shift |;2.208685;5.132431;0.9217137
