;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
49003; Crosover vs 49009|;2.914447;4.730678;4.413701
45008; Crosover vs 45006| Crosover vs 45010|;2.916084;4.73609;4.41358
45002;;2.915793;4.736149;4.41092
36002; Crosover vs 36010|;2.917549;4.741093;4.410758
45005;;2.916538;4.738534;4.410488
48007; Crosover vs 48003| Crosover vs 48009|;2.914302;4.732808;4.410322
48003; Crosover vs 48007|;2.914302;4.732806;4.410321
48005;;2.91388;4.731733;4.410305
43001;;2.91388;4.731733;4.410305
37005;;2.91388;4.731732;4.410305
42005;;2.91388;4.731732;4.410305
49009; Crosover vs 49003| Crosover vs 49007| Crosover vs 49008|;2.914698;4.735439;4.408851
49007; Crosover vs 49009| Shift |;2.708387;5.170878;3.085359
49008; Crosover vs 49009| Shift |;2.707845;5.175961;3.075359
49002; BlueNoize | Shift |;2.543199;4.857355;2.892953
49004; BlueNoize | Shift |;2.543426;4.858013;2.892875
49006; BlueNoize | Shift |;2.543426;4.858013;2.892875
49010; BlueNoize | Shift |;2.544865;4.862605;2.891721
49005; FlikkerNoize | Shift |;2.345408;5.278254;1.334735
49001; FlikkerNoize | Shift |;2.346165;5.280624;1.333989
