;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
7004;;2.882139;4.754627;4.28823
9007;;2.875427;4.746945;4.274369
14001;;2.870563;4.735096;4.271411
13002;;2.873927;4.745412;4.271163
14002; Crosover vs 14004|;2.869352;4.73731;4.265291
12009; Crosover vs 12002|;2.865555;4.726386;4.264815
13010;;2.873807;4.75476;4.261102
13009;;2.860374;4.71847;4.257019
9002;;2.868518;4.744112;4.254269
8006;;2.868518;4.744112;4.254268
8003;;2.868518;4.744112;4.254268
11006; Crosover vs 11008|;2.856149;4.710802;4.252085
14006; Crosover vs 14009|;2.857656;4.727703;4.237709
14010; BlueNoize |;2.630403;4.375395;3.873371
14009; Crosover vs 14006| Shift |;2.701981;5.104387;3.160341
14007; Shift |;2.694079;5.120062;3.106591
14004; Crosover vs 14002| BlueNoize | Shift |;2.493042;4.718917;2.906668
14008; BlueNoize | Shift |;2.492114;4.734936;2.87945
14003; FlikkerNoize |;2.474945;5.314019;1.880806
14005; FlikkerNoize |;2.480844;5.333321;1.877208
