;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
52002; Crosover vs 52005|;2.915934;4.733933;4.414411
57006;;2.915467;4.732881;4.414345
55001; Crosover vs 55009|;2.91498;4.731864;4.414158
57003; Crosover vs 57009|;2.915257;4.732965;4.413959
50007;;2.915281;4.733289;4.41381
51002;;2.914868;4.731982;4.413772
53006;;2.915421;4.73369;4.413739
49003; Crosover vs 49009|;2.914447;4.730678;4.413701
45008; Crosover vs 45006| Crosover vs 45010|;2.916084;4.73609;4.41358
56009;;2.915605;4.733974;4.413557
57009; Crosover vs 57003|;2.915051;4.73277;4.413458
51001; Crosover vs 51010|;2.914675;4.731421;4.41344
57002; Crosover vs 57007|;2.915209;4.733002;4.413318
54007; Crosover vs 54008|;2.91492;4.732635;4.413072
57008; BlueNoize |;2.712173;4.420165;4.088384
57005; BlueNoize |;2.711475;4.418641;4.088078
57001; BlueNoize |;2.712222;4.422489;4.086321
57010; Shift |;2.747795;5.339788;2.994494
57007; Crosover vs 57002| BlueNoize | Shift |;2.558289;4.967819;2.79746
57004; FlikkerNoize |;2.62089;5.787563;1.690748
