;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
22003; Crosover vs 22006|;2.91164;4.745654;4.388249
23005;;2.895285;4.711164;4.378109
21007;;2.89484;4.723598;4.363151
18005; Crosover vs 18002| Crosover vs 18004|;2.909113;4.780713;4.342633
17005;;2.877796;4.70167;4.335166
17007;;2.876981;4.699986;4.334427
19003; Crosover vs 19010|;2.877079;4.70153;4.332822
19010; Crosover vs 19003|;2.875939;4.699933;4.331175
23007;;2.875854;4.709184;4.321374
16006; Shift |;2.876031;4.73514;4.293708
16010; Crosover vs 16001| Shift |;2.873827;4.730022;4.291784
7004;;2.882139;4.754627;4.28823
23002; BlueNoize |;2.678988;4.391306;4.016777
23004; Shift |;2.772381;5.258593;3.225649
23001; Crosover vs 23008| Shift |;2.776541;5.272656;3.210441
23009; Shift |;2.757362;5.252167;3.177341
23006; Shift |;2.744624;5.242905;3.136953
23010; BlueNoize | Shift |;2.563135;4.863552;2.981194
23008; Crosover vs 23001| BlueNoize | Shift |;2.522291;4.850142;2.850102
23003; FlikkerNoize | Shift |;2.484902;5.478088;1.594055
