;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
36002; Crosover vs 36010|;2.917549;4.741093;4.410758
37005;;2.91388;4.731732;4.410305
38008;;2.910716;4.724313;4.409444
37009;;2.907484;4.717542;4.407412
24005; Crosover vs 24009| Shift |;2.909573;4.723042;4.407251
36001; Crosover vs 36003| Crosover vs 36009|;2.904699;4.712417;4.405242
35006;;2.90814;4.723392;4.403118
35009;;2.906223;4.719168;4.402209
36008; Crosover vs 36003|;2.910296;4.730378;4.401382
36004;;2.906178;4.7211;4.399559
25003;;2.90314;4.71485;4.397999
38009; BlueNoize |;2.678753;4.377813;4.027287
38003; Shift |;2.785278;5.335125;3.177798
38004; Shift |;2.784408;5.341473;3.164137
38002; BlueNoize | Shift |;2.574566;4.934605;2.934921
38010; Crosover vs 38005| Shift |;2.496726;5.382401;1.853409
38005; BlueNoize | Shift | Crosover vs 38010|;2.351293;5.014353;1.833774
38007; FlikkerNoize |;2.499992;5.560061;1.529767
38001; FlikkerNoize |;2.500973;5.563555;1.527951
38006; FlikkerNoize | Shift |;2.558795;5.738729;1.404444
