;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
50007;;2.915281;4.733289;4.41381
49003; Crosover vs 49009|;2.914447;4.730678;4.413701
45008; Crosover vs 45006| Crosover vs 45010|;2.916084;4.73609;4.41358
45002;;2.915793;4.736149;4.41092
36002; Crosover vs 36010|;2.917549;4.741093;4.410758
45005;;2.916538;4.738534;4.410488
48007; Crosover vs 48003| Crosover vs 48009|;2.914302;4.732808;4.410322
48003; Crosover vs 48007|;2.914302;4.732806;4.410321
43001;;2.91388;4.731733;4.410305
48005;;2.91388;4.731733;4.410305
37005;;2.91388;4.731732;4.410305
50010; Shift |;2.767673;5.142312;3.367077
50005; Shift |;2.7681;5.144438;3.365774
50003; BlueNoize | Shift |;2.571043;4.79361;3.106576
50001; BlueNoize | Shift |;2.570943;4.793734;3.106084
50002; FlikkerNoize |;2.581518;5.176541;2.596603
50009; FlikkerNoize |;2.580998;5.175585;2.595963
50004; FlikkerNoize | Shift |;2.660199;5.847013;1.73296
50006; FlikkerNoize | Shift |;2.660072;5.846663;1.732937
50008; FlikkerNoize | Shift |;2.660097;5.846951;1.73263
