;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
86002; Crosover vs 86005|;2.915247;4.732093;4.414735
88004;;2.915242;4.732081;4.414735
87008;;2.915237;4.732067;4.414734
84005;;2.915237;4.732067;4.414734
72006; Crosover vs 72009|;2.915259;4.732126;4.414734
67008; Crosover vs 67006|;2.915215;4.732008;4.414733
84004;;2.915233;4.732061;4.414729
84003;;2.915249;4.732102;4.414729
87009; Crosover vs 87001| Crosover vs 87006|;2.915236;4.732069;4.414729
86005; Crosover vs 86002|;2.915233;4.732063;4.414728
85006; Crosover vs 85007|;2.915235;4.732068;4.414728
88001; BlueNoize |;2.719146;4.421837;4.109591
88003; Crosover vs 88007| Shift | Crosover vs 88009|;2.723957;5.347042;2.885914
88008; BlueNoize | Shift |;2.548857;4.97533;2.739589
88005; BlueNoize | Shift | Crosover vs 88010|;2.541812;4.999922;2.682427
88009; Crosover vs 88003|;2.706778;5.805619;1.984359
88010; Crosover vs 88005|;2.565287;5.487422;1.90406
88007; Crosover vs 88003| FlikkerNoize |;2.534155;5.565737;1.739825
88006; FlikkerNoize | Shift |;2.424762;5.645711;1.003308
88002; FlikkerNoize | Shift |;2.42476;5.64571;1.003304
