;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
72006; Crosover vs 72009|;2.915259;4.732126;4.414734
67008; Crosover vs 67006|;2.915215;4.732008;4.414733
72007;;2.915218;4.732033;4.414715
77002; Crosover vs 77010|;2.915241;4.732099;4.414713
71008; Crosover vs 71009|;2.91522;4.732056;4.414694
71004; Crosover vs 71006|;2.91521;4.732044;4.414675
76002;;2.915237;4.732123;4.414656
68008;;2.91526;4.732211;4.414639
70001;;2.915257;4.732215;4.414598
75009;;2.915344;4.732458;4.414596
65005; Crosover vs 65002|;2.915254;4.73222;4.414555
77003; BlueNoize |;2.693594;4.410882;4.035558
77007; Crosover vs 77006| BlueNoize |;2.693617;4.410969;4.035522
77006; Crosover vs 77007| Shift |;2.758229;5.010597;3.507726
77010; Crosover vs 77002| Shift |;2.758227;5.010601;3.507711
77005; BlueNoize | Shift |;2.548916;4.651509;3.213138
77001; BlueNoize | Shift | Crosover vs 77009|;2.108258;4.108815;2.181069
77009; Crosover vs 77001|;2.067761;4.170742;1.929754
77004; FlikkerNoize |;2.502624;5.594817;1.484891
77008; FlikkerNoize |;2.502607;5.59479;1.484855
