;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
36002; Crosover vs 36010|;2.917549;4.741093;4.410758
37005;;2.91388;4.731732;4.410305
42005;;2.91388;4.731732;4.410305
41003;;2.915606;4.736341;4.410145
38008;;2.910716;4.724313;4.409444
39001; Crosover vs 39009|;2.91704;4.741385;4.40877
42002;;2.909984;4.723883;4.407906
37009;;2.907484;4.717542;4.407412
24005; Crosover vs 24009| Shift |;2.909573;4.723042;4.407251
40004; Crosover vs 40009| Crosover vs 40005|;2.909867;4.724288;4.407144
41004; Crosover vs 41006| Crosover vs 41007|;2.918812;4.748465;4.406156
36001; Crosover vs 36003| Crosover vs 36009|;2.904699;4.712417;4.405242
42008; Crosover vs 42007|;2.815666;4.592234;4.240312
42007; BlueNoize | Crosover vs 42008|;2.801793;4.581657;4.205058
42004; BlueNoize |;2.702476;4.414288;4.062856
42009; BlueNoize |;2.697776;4.405025;4.058874
42010; Shift |;2.759642;5.316352;3.082618
42003; BlueNoize | Shift |;2.552196;4.909789;2.856734
42006; BlueNoize | Shift |;2.551899;4.915124;2.847082
42001; BlueNoize | Shift |;2.551313;4.916104;2.84308
