;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
24005; Crosover vs 24009| Shift |;2.909573;4.723042;4.407251
25003;;2.90314;4.71485;4.397999
28001; Crosover vs 28009|;2.907943;4.73449;4.389834
22003; Crosover vs 22006|;2.91164;4.745654;4.388249
26006; Crosover vs 26004|;2.899972;4.716173;4.386853
29002;;2.901815;4.721107;4.386454
26002; Crosover vs 26004|;2.902909;4.723985;4.386108
29006;;2.899155;4.716874;4.383022
23005;;2.895285;4.711164;4.378109
29008;;2.890379;4.699191;4.376853
24001; Crosover vs 24010| Shift |;2.892935;4.707673;4.375425
26010;;2.885442;4.695927;4.365785
21007;;2.89484;4.723598;4.363151
29004; Shift |;2.769614;5.098071;3.442626
29007; BlueNoize | Shift |;2.551586;4.780864;3.056788
29009; BlueNoize | Shift |;2.561695;4.816191;3.053578
29010; Crosover vs 29005| Shift |;2.754297;5.686579;2.569557
29005; FlikkerNoize | Crosover vs 29010|;2.77171;5.932458;2.237388
29001; FlikkerNoize |;2.610029;5.704055;1.771421
29003; FlikkerNoize | Shift |;2.65044;6.103559;1.175774
