;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
45008; Crosover vs 45006| Crosover vs 45010|;2.916084;4.73609;4.41358
45002;;2.915793;4.736149;4.41092
36002; Crosover vs 36010|;2.917549;4.741093;4.410758
45005;;2.916538;4.738534;4.410488
43001;;2.91388;4.731733;4.410305
37005;;2.91388;4.731732;4.410305
42005;;2.91388;4.731732;4.410305
45003;;2.914714;4.73389;4.410298
41003;;2.915606;4.736341;4.410145
44001; Crosover vs 44010|;2.912434;4.728213;4.410144
44010; Crosover vs 44001|;2.915479;4.736144;4.40996
38008;;2.910716;4.724313;4.409444
44002; Crosover vs 44006|;2.915388;4.736408;4.409188
44006; Crosover vs 44002|;2.910292;4.723799;4.408935
45010; Crosover vs 45008|;2.799797;4.576111;4.204219
45006; BlueNoize | Crosover vs 45008|;2.785969;4.56796;4.16719
45001; BlueNoize | Shift |;2.527385;4.570607;3.244623
45007; BlueNoize | Shift |;2.527154;4.574071;3.239064
45004; FlikkerNoize | Shift |;2.606983;5.966318;1.267347
45009; FlikkerNoize | Shift |;2.607447;5.967896;1.266707
