;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
24005; Crosover vs 24009| Shift |;2.909573;4.723042;4.407251
25003;;2.90314;4.71485;4.397999
28001; Crosover vs 28009|;2.907943;4.73449;4.389834
22003; Crosover vs 22006|;2.91164;4.745654;4.388249
26006; Crosover vs 26004|;2.899972;4.716173;4.386853
26002; Crosover vs 26004|;2.902909;4.723985;4.386108
23005;;2.895285;4.711164;4.378109
24001; Crosover vs 24010| Shift |;2.892935;4.707673;4.375425
26010;;2.885442;4.695927;4.365785
21007;;2.89484;4.723598;4.363151
24002; Crosover vs 24007|;2.8862;4.702583;4.359822
28002; Crosover vs 28008|;2.855992;4.713513;4.252981
28009; Crosover vs 28001| BlueNoize |;2.701667;4.42794;4.050759
28008; Crosover vs 28002| Crosover vs 28004| Shift |;2.86338;5.214005;3.637941
28010; BlueNoize | Shift |;2.642074;4.863078;3.28635
28004; BlueNoize | Shift | Crosover vs 28007| Crosover vs 28008|;2.790094;5.388282;3.1224
28007; Crosover vs 28004|;2.724656;5.405031;2.784735
28005; FlikkerNoize |;2.414296;5.193686;1.78038
28003; FlikkerNoize | Shift |;2.414154;5.362601;1.473604
28006; FlikkerNoize | Shift |;2.414554;5.385543;1.431447
