Номер Поколения;Среднее значение критической точки;Дисперсия;СКО;Коэфф. Стьюдента;Ошибка среднего;Начало Дов. Интервала;Конец  Дов. Интервала;Доверительная вероятность;Кол-во измерений;
0;0;0;0;1.96;0;0;0;0.95;0;
1;396.321;60149.78;245.2545;1.96;2.742029;390.9466;401.6954;0.95;8000;
2;394.9204;60100.81;245.1547;1.96;2.740912;389.5482;400.2926;0.95;8000;
3;395.2934;59366.46;243.6523;1.96;2.724116;389.9541;400.6326;0.95;8000;
4;399.2186;59481.19;243.8876;1.96;2.726747;393.8742;404.563;0.95;8000;
5;397.6584;59083.24;243.0704;1.96;2.71761;392.3319;402.9849;0.95;8000;
6;399.0245;59822.3;244.586;1.96;2.734554;393.6648;404.3842;0.95;8000;
7;396.4674;59767.41;244.4737;1.96;2.733299;391.1101;401.8246;0.95;8000;
8;397.6843;60160;245.2753;1.96;2.742262;392.3094;403.0591;0.95;8000;
9;395.3723;59960.02;244.8673;1.96;2.7377;390.0063;400.7382;0.95;8000;
10;396.8361;60612.53;246.1961;1.96;2.752556;391.4411;402.2311;0.95;8000;
11;393.5261;60450.23;245.8663;1.96;2.748868;388.1383;398.9139;0.95;8000;
12;392.638;59845.81;244.634;1.96;2.735092;387.2772;397.9988;0.95;8000;
13;396.6596;61022.68;247.0277;1.96;2.761854;391.2464;402.0729;0.95;8000;
14;393.6206;60877.48;246.7336;1.96;2.758566;388.2138;399.0274;0.95;8000;
15;392.426;60174.3;245.3045;1.96;2.742588;387.0505;397.8015;0.95;8000;
16;396.5694;61853.32;248.7033;1.96;2.780587;391.1194;402.0193;0.95;8000;
17;393.1084;59597.61;244.1262;1.96;2.729414;387.7587;398.458;0.95;8000;
18;392.0803;61815.68;248.6276;1.96;2.779741;386.632;397.5286;0.95;8000;
19;390.8564;62413.34;249.8266;1.96;2.793146;385.3818;396.331;0.95;8000;
20;394.2801;61611.48;248.2166;1.96;2.775146;388.8408;399.7194;0.95;8000;
