Номер поколения; Средний фитнесс1; Средний фитнесс2; Средний фитнесс3; Макс. фитнес 1; Макс. фитнес 2; Макс. фитнес 3
1;2.916162;6.173792;2.248985;3.709927;7.786717;3.212245
2;3.070714;6.363515;2.58648;3.709927;7.786717;3.212245
3;3.332857;6.904819;2.818171;3.709927;7.786717;3.212245
4;3.249006;6.557269;3.035251;3.574282;7.409566;3.214646
5;3.04634;6.280104;2.614265;3.467669;7.086629;3.214646
6;3.2462;6.622584;2.911863;3.574642;7.515424;3.214646
7;3.235701;6.784991;2.595057;3.485988;7.720376;3.214646
8;3.160131;6.350591;2.983105;3.357116;6.756387;3.259839
9;3.206372;6.525339;2.879246;3.518325;7.387643;3.33758
10;3.12392;6.283692;2.925269;3.504365;7.391495;3.33758
11;3.118127;6.225647;2.997333;3.335274;6.795317;3.33758
12;3.122416;6.255339;2.97086;3.495647;7.418549;3.33758
13;3.123171;6.185802;3.07984;3.392385;6.9679;3.33758
14;3.194158;6.501657;2.864027;3.42134;7.167928;3.352788
15;3.210268;6.531438;2.870616;3.548186;7.879783;3.352788
16;3.245862;6.424968;3.201881;3.556341;7.526627;3.352788
17;3.214175;6.511941;2.924907;3.479404;7.356438;3.352788
18;3.115154;6.281701;2.869648;3.345393;6.784653;3.352788
19;3.166986;6.320392;3.028781;3.302669;6.855596;3.352788
20;3.067584;6.249941;2.739441;3.268736;7.597378;3.352788
21;3.1214;6.368976;2.777203;3.55005;7.513202;3.352788
22;3.239736;6.586874;2.903054;3.441992;7.219234;3.352788
23;3.257375;6.601266;2.954709;3.659638;8.144646;3.352788
24;3.109619;6.259198;2.863925;3.312864;6.597368;3.352788
25;3.143121;6.243867;3.056533;3.286791;6.929037;3.352788
26;3.14203;6.361805;2.869894;3.489121;7.37557;3.352788
27;3.125947;6.308922;2.88956;3.505765;7.423447;3.352788
28;3.048027;6.09686;2.897498;3.299421;6.515585;3.353284
29;3.274785;6.631899;2.996017;3.451214;7.418301;3.353284
30;3.266645;6.67795;2.861826;3.559553;7.549313;3.353284
31;3.202298;6.337794;3.163186;3.399492;6.963278;3.353284
32;3.136992;6.364556;2.850905;3.426442;7.145195;3.353284
33;3.082078;6.209558;2.850515;3.485534;7.257881;3.353284
34;3.220916;6.518222;2.955998;3.558612;7.52588;3.353284
35;3.236864;6.489642;3.058701;3.641455;8.04561;3.353433
36;3.178205;6.46889;2.836197;3.306732;7.11105;3.353433
37;3.182574;6.306346;3.122147;3.322867;6.795617;3.353433
38;3.092433;6.288926;2.769117;3.549602;7.520262;3.353433
39;3.079726;6.229488;2.816762;3.239483;6.726911;3.353632
40;3.114996;6.257111;2.925662;3.322026;6.789455;3.353632
41;3.085441;6.16715;2.943623;3.249449;6.353558;3.353632
42;3.15762;6.356508;2.954563;3.410423;7.071941;3.353632
43;3.214616;6.287454;3.286612;3.295543;6.587197;3.353632
44;3.119447;6.232134;2.988102;3.238583;6.542292;3.353673
45;3.212826;6.365848;3.162138;3.387773;7.043591;3.353673
46;3.164303;6.34595;2.978654;3.394848;7.000656;3.353673
47;3.287679;6.679333;2.928344;3.424254;7.735746;3.353673
48;3.185004;6.320714;3.099826;3.350092;6.773923;3.354618
49;3.106851;6.287756;2.848205;3.45126;7.146891;3.354618
50;3.083961;6.103726;3.036443;3.301851;6.520217;3.354618
51;3.057606;6.244643;2.681857;3.374699;6.902816;3.354618
52;3.178819;6.263789;3.164134;3.29109;6.80391;3.354618
53;3.191089;6.503321;2.851211;3.311364;7.226267;3.354618
54;3.187674;6.393168;3.008505;3.469678;7.285151;3.354618
55;3.185518;6.402018;2.987243;3.552419;7.515119;3.354618
56;3.228324;6.425312;3.11138;3.556864;7.518888;3.354618
57;3.133962;6.191814;3.098427;3.239782;6.308638;3.354618
58;3.25039;6.462863;3.152457;3.706281;8.214847;3.354618
59;3.188537;6.430359;2.949934;3.405672;7.240596;3.354618
60;3.237115;6.533022;2.968054;3.333621;7.541586;3.354618
61;3.171452;6.2393;3.179931;3.27851;6.827216;3.354618
62;3.038808;6.100535;2.842913;3.30881;6.86809;3.354618
63;3.12074;6.348933;2.805989;3.517987;7.454552;3.354618
64;3.191934;6.254962;3.241523;3.247403;6.344997;3.354618
65;3.096264;6.28117;2.804156;3.552648;7.514504;3.354618
66;3.151472;6.44987;2.769737;3.53055;7.483854;3.354618
67;3.145371;6.408098;2.791498;3.427042;7.14433;3.354618
68;3.239052;6.474934;3.086745;3.492378;7.387714;3.354618
69;3.128077;6.338661;2.850974;3.427197;7.14437;3.354618
70;3.023717;5.961671;3.016837;3.297046;6.492429;3.354618
71;3.112782;6.260533;2.905858;3.45212;7.398529;3.354618
72;3.204081;6.52495;2.867248;3.615199;7.928114;3.354618
73;3.158969;6.339039;2.986825;3.519139;7.443655;3.354618
74;3.238755;6.348637;3.290157;3.371143;6.804213;3.355186
75;3.233653;6.463708;3.077254;3.448462;7.66405;3.355186
76;3.150463;6.331532;2.934889;3.241477;6.898594;3.355186
77;3.164068;6.248883;3.13575;3.285899;6.880834;3.355186
78;3.217784;6.428303;3.069519;3.452571;7.615245;3.355186
79;3.12645;6.236695;2.992078;3.298243;6.494761;3.355186
80;3.187745;6.259375;3.217632;3.294903;6.571426;3.355186
81;3.12104;6.315806;2.834497;3.52726;7.476725;3.355186
82;3.172783;6.346441;3.013983;3.360694;6.901693;3.355186
83;3.217071;6.418842;3.094721;3.494876;7.391485;3.355186
84;3.302593;6.756711;2.889874;3.557153;7.88693;3.355186
85;3.166983;6.23437;3.167511;3.306258;6.712665;3.355186
86;3.194927;6.297681;3.191277;3.382542;6.92636;3.355186
87;3.027992;6.029792;2.926914;3.241477;6.312554;3.355186
88;3.184315;6.382034;3.014746;3.491695;7.380528;3.355186
89;3.160916;6.276082;3.07919;3.241477;6.858174;3.355186
90;3.195803;6.350456;3.098427;3.318231;6.838462;3.355186
91;3.168168;6.326723;3.041866;3.349852;7.036587;3.355186
92;3.141386;6.280061;2.994457;3.54752;7.514629;3.355186
93;3.187159;6.408134;2.982356;3.44731;7.157501;3.355186
94;3.218475;6.622649;2.746743;3.487211;7.589757;3.355186
95;3.259966;6.635102;2.918375;3.556556;7.520092;3.355186
96;3.19401;6.490201;2.871784;3.452601;7.268667;3.355186
97;3.283345;6.549829;3.156004;3.538369;7.497501;3.355186
98;3.147273;6.292198;2.974683;3.296922;6.680223;3.355186
99;3.129845;6.331638;2.824768;3.314799;6.573955;3.355186
