;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
33008; Crosover vs 33001|;2888.389;20453.68;18092.79
31010; Crosover vs 31006|;2874.679;20438.13;18074.29
35002; Crosover vs 35007|;2871.319;20431.12;18063.65
32012; Crosover vs 32015| Crosover vs 32015|;2872.035;20429.54;18063.15
35013;;2877.351;20427.32;18060.88
35009;;2877.351;20427.32;18060.88
35003; Crosover vs 35008|;2878.838;20423.81;18060.03
35004; Crosover vs 35014| Crosover vs 35015|;2880.947;20411.89;18058.28
32002; Crosover vs 32013|;2874.715;20420.47;18057.2
34008; Crosover vs 34004|;2889.462;20413.93;18057.05
32015; Crosover vs 32003| Crosover vs 32012| Crosover vs 32012|;2872.719;20414.92;18052.29
33001; Crosover vs 33008|;2867.399;20417;18051.17
33014;;2877.014;20406.46;18048.79
35015; Crosover vs 35004|;2882.561;20401.73;18044.15
24008;;2876.899;20397.5;18036.91
26001;;2876.899;20397.5;18036.91
31004;;2876.899;20397.5;18036.91
24001;;2876.899;20397.5;18036.91
25004;;2876.899;20397.5;18036.9
28006;;2876.899;20397.5;18036.9
32013; Crosover vs 32002|;2876.599;20371.18;18017.44
35011; Shift |;2248.976;19245.48;17069.78
35007; Crosover vs 35002| Shift |;2262.826;19261.7;17066.75
35005; BlueNoize |;2689.722;18910.1;16711.85
35010; BlueNoize | Shift |;2095.275;17804.61;15764.31
35006; BlueNoize | Shift |;2106.319;17799.51;15758.59
35014; Crosover vs 35004| FlikkerNoize | Shift |;1719.945;15279.89;11295.9
35012; FlikkerNoize | Shift |;1717.656;15253.73;11260.75
35001; FlikkerNoize | Shift |;1708.617;15212.88;11249.1
35008; Crosover vs 35003| FlikkerNoize | Shift |;1703.681;15191.95;11244.48
