;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
6001;;3260.661;18466.34;16330.43
6012;;3252.128;18450.13;16293.47
6008;;3192.723;18404.47;16284.43
6009;;3237.768;18526.17;16274.16
5001;;3184.984;18583.78;16238.57
6015;;3054.599;18248.59;16234.28
6005;;3263.824;18532.35;16231.87
5002;;3065.868;18242.05;16223.78
6011;;3298.718;18354.93;16221.21
6013;;3116.698;18438.89;16213.66
4005;;3274.332;18383.6;16209.12
5005;;3288.441;18413.95;16173.68
6010;;3263.768;18272.7;16163.34
6007;;3244.27;18245.87;16162.2
4012;;3186.218;18203.45;16161.31
6004;;3264.659;18420.77;16152.62
6014;;3122.375;18203.85;16152.19
5006;;3205.448;18496.97;16141.7
6002;;3310.64;18366.49;16125.47
5009;;2881.134;18077.87;16123.53
6006;;3321.06;18351.01;16114.28
6003;;3160.355;18403.93;16065.67
4014;;3166.053;18110.57;16017.72
5012;;3269.161;18036.63;15971.73
5014;;3332.625;18275.79;15967.61
5010;;3228.345;17992.65;15967.31
5003;;3225.313;18017.92;15960.94
3014;;3103.509;18422.25;15957.49
4011;;3326.344;18143.15;15915.19
3001;;3145.11;18098.57;15874.05
