;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
10007;;2760.839;19826.2;17504.94
12008;;2760.839;19826.2;17504.94
12013;;2725.212;19849.1;17478.03
13012;;2733.349;19842.48;17469.33
15007; Crosover vs 15008|;2713.536;19832.6;17435.54
13003;;2794.102;19625.51;17353.11
14006; Crosover vs 14012| Crosover vs 14011|;2693.08;19705.31;17340.54
15001; Crosover vs 15014| Crosover vs 15012|;2683.295;19733.56;17307.58
10003;;2673.902;19727.79;17296.88
13009;;2682.478;19725;17296.35
13011;;2664.965;19727.52;17293.57
12010;;2690.692;19719.17;17290.98
15010;;2650.885;19721.29;17282.82
7002; Crosover vs 7005| Shift |;2706.015;19698.18;17271.8
7006; Shift |;2636.004;19708.18;17265.55
14002; Crosover vs 14011|;2660.922;19677.27;17244.64
13008;;2655.662;19678.85;17243.44
14014; Crosover vs 14009|;2613.761;19522.82;17205.45
15011; BlueNoize | Crosover vs 15013|;2600.186;19244.14;16914.85
15013; Crosover vs 15011|;2597.658;18917.1;16615.42
15005; BlueNoize |;2505.573;18287.32;16031.36
15015; Shift |;2270.975;16567.38;14112.9
15002; Shift |;2251.84;16447.55;13853.57
15012; Crosover vs 15001| Shift |;2227.75;16379.43;13734.45
15006; FlikkerNoize |;2474.355;14645.3;12784.62
15009; FlikkerNoize |;2505.94;14664.81;12761.59
15003; FlikkerNoize | Shift |;1940.136;12352.3;10521.25
15004; FlikkerNoize | Shift |;1920.625;12297.35;10506.26
15014; Crosover vs 15001| FlikkerNoize | Shift |;1937.453;12296.85;10412.57
15008; Crosover vs 15007| FlikkerNoize | Shift |;1945.631;12301.7;10392.36
