;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
44004; Shift | Crosover vs 44007|;2959.234;20531.36;18189.89
44002; Shift | Crosover vs 44003|;2957.542;20519.36;18174.73
42013; Crosover vs 42001|;2926.949;20518.55;18169.68
42001; Shift | Crosover vs 42005| Crosover vs 42013|;2917.05;20506.33;18155.1
43005; Crosover vs 43004|;2906.909;20506.38;18154.83
44010;;2905.237;20508.04;18153.31
44005; Crosover vs 44009|;2912.524;20502.73;18150.09
39003;;2907.271;20496.04;18144.54
36001; Shift | Crosover vs 36010|;2924.57;20477.52;18140.69
41001;;2901.311;20495.93;18139.12
40003;;2897.976;20493.19;18134.28
39014;;2906.091;20484.65;18131.78
42014;;2896.995;20489.72;18131
40005; Crosover vs 40004|;2893.531;20490.47;18128.82
43001; Crosover vs 43013|;2909.198;20481.01;18127.91
41007;;2907.642;20479.81;18126.55
43004; Crosover vs 43005|;2907.256;20479.73;18125.52
41006; Crosover vs 41011|;2894.57;20483.66;18122.94
40009; Crosover vs 40001|;2908.88;20472.58;18118.86
44006; Shift |;2668.129;20196.55;17911.05
44001; Shift |;2663.85;20195.3;17908.49
44003; Crosover vs 44002|;2612.106;20118.72;17843.21
44007; Crosover vs 44004|;2603.995;20106.09;17831.26
44011; BlueNoize |;2697.3;19027.86;16840.46
44015; BlueNoize |;2683.119;19029.75;16833.87
44012; BlueNoize |;2677.097;19022.25;16823.48
44013; BlueNoize | Shift |;2531.604;18820.68;16693.55
44014; BlueNoize | Shift |;2525.403;18806.76;16679.72
44008; BlueNoize | Shift |;2527.074;18806.91;16679.2
44009; Crosover vs 44005| FlikkerNoize | Shift |;1425.692;13341.43;10157.17
