;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
42013; Crosover vs 42001|;2926.949;20518.55;18169.68
42001; Shift | Crosover vs 42005| Crosover vs 42013|;2917.05;20506.33;18155.1
43005; Crosover vs 43004|;2906.909;20506.38;18154.83
39003;;2907.271;20496.04;18144.54
36001; Shift | Crosover vs 36010|;2924.57;20477.52;18140.69
41001;;2901.311;20495.93;18139.12
40003;;2897.976;20493.19;18134.28
39014;;2906.091;20484.65;18131.78
42014;;2896.995;20489.72;18131
40005; Crosover vs 40004|;2893.531;20490.47;18128.82
43001; Crosover vs 43013|;2909.198;20481.01;18127.91
41007;;2907.642;20479.81;18126.55
43004; Crosover vs 43005|;2907.256;20479.73;18125.52
41006; Crosover vs 41011|;2894.57;20483.66;18122.94
40009; Crosover vs 40001|;2908.88;20472.58;18118.86
38006;;2885.479;20475.58;18110.04
37010;;2884.493;20475.47;18109.61
36005;;2886.142;20473.83;18109.09
43003; BlueNoize | Crosover vs 43008|;2757.279;19687.1;17409.53
43011; BlueNoize |;2643.981;18785.98;16634.07
43015; Crosover vs 43009| Shift |;2311.092;15695.3;14059.96
43009; BlueNoize | Shift | Crosover vs 43015|;2253.749;15812.37;12659.57
43014; FlikkerNoize |;2324.724;14052.05;9510.745
43007; Shift |;2221.121;13216.26;9447.865
43012; Shift |;2225.923;13185.69;9447.73
43002; Shift |;2221.897;13205.94;9445.457
43010; Shift |;2221.133;13203.48;9438.984
43013; Crosover vs 43001| FlikkerNoize |;2321.752;14106.23;9404.009
43008; Crosover vs 43003| Shift |;2138.828;12641.43;9068.323
43006; BlueNoize | Shift |;2028.982;11971.96;8657.901
