;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
24008;;2876.899;20397.5;18036.91
24001;;2876.899;20397.5;18036.91
26001;;2876.899;20397.5;18036.91
28006;;2876.899;20397.5;18036.9
25004;;2876.899;20397.5;18036.9
27012; Crosover vs 27015| Shift | Crosover vs 27013|;2903.236;20365.5;18013.19
30008;;2860.204;20362.24;18007.66
23011;;2866.48;20377.28;18006.87
28001; Crosover vs 28014|;2861.723;20344.39;17990.68
29002; Crosover vs 29006|;2861.982;20335.75;17989.02
29003; Crosover vs 29012|;2862.539;20333.94;17987.42
24002; Crosover vs 24004|;2840.693;20346.9;17977.87
22008;;2842.689;20303.76;17961.34
20002;;2842.689;20303.76;17961.34
23004; Crosover vs 23012|;2854.591;20295.62;17958.04
28008; Crosover vs 28007| Crosover vs 28011|;2835.351;20286.04;17939.26
30002; Shift |;3119.549;18777.1;16597.87
30015; Shift |;3132.582;18751.88;16568.56
30005; Crosover vs 30011| Shift |;3094.605;18710.48;16548.28
30004; BlueNoize |;2642.535;18688.44;16524.64
30012; BlueNoize |;2629.5;18628.09;16478.6
30001; BlueNoize |;2638.416;18642.71;16475.79
30003; FlikkerNoize | Crosover vs 30011|;2668.502;17125.72;15119.31
30011; Crosover vs 30005| Crosover vs 30003| Shift |;2671.359;16583.66;13869.5
30007; FlikkerNoize |;2774.608;15143.03;11596.87
30014; Crosover vs 30009| Shift |;1447.641;13686.68;11274.35
30013; FlikkerNoize | Shift |;1697.725;15223.47;10115.6
30006; Shift | Crosover vs 30010|;2086.396;16767.24;8951.586
30009; Shift | Crosover vs 30014|;2048.048;16565.66;8878.934
30010; Crosover vs 30006|;1735.63;10425.43;8238.229
