;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
48003; Crosover vs 48001| Crosover vs 48010|;3.239782;6.308638;3.354618
60002;;3.239392;6.307719;3.354485
57002;;3.23937;6.307668;3.354474
59002;;3.239133;6.307142;3.354393
57006; Crosover vs 57010| Shift |;3.238999;6.306826;3.354336
58002; Crosover vs 58003|;3.239062;6.306967;3.354336
60009;;3.238926;6.30668;3.354314
58001;;3.238896;6.306623;3.35431
55006;;3.238955;6.306726;3.35431
58004;;3.238696;6.30618;3.354293
58003; Crosover vs 58002|;3.23874;6.306301;3.35429
57001; Shift | Crosover vs 57003|;3.238793;6.306446;3.35427
60005; BlueNoize |;3.040411;5.918844;3.150403
60001; Shift |;3.333621;6.793142;2.996911
60008; Shift |;3.332958;6.791684;2.996594
60010; BlueNoize | Shift |;3.138644;6.423636;2.782196
60006; BlueNoize | Shift |;3.138968;6.424549;2.782115
60003; FlikkerNoize |;3.296329;7.541583;1.466914
60007; FlikkerNoize |;3.29634;7.541586;1.466856
60004; FlikkerNoize |;3.29628;7.541507;1.466651
