;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
74010; Crosover vs 74001| Crosover vs 74007|;3.241477;6.312554;3.355186
86009; Crosover vs 86006| Crosover vs 86007| Crosover vs 86010|;3.241031;6.311442;3.355083
85003; Crosover vs 85006|;3.241014;6.311408;3.355078
78004;;3.241086;6.311694;3.355052
86010; Crosover vs 86009|;3.241036;6.311572;3.355039
83004; Crosover vs 83010|;3.240891;6.311182;3.355022
84004;;3.24086;6.311121;3.355007
86006; Crosover vs 86002| Crosover vs 86009|;3.240862;6.311133;3.355006
80007;;3.240825;6.311034;3.354997
83010; Crosover vs 83004|;3.240897;6.311257;3.354993
82004;;3.240829;6.31106;3.354993
86007; Crosover vs 86009|;3.240819;6.31104;3.35499
81002; Crosover vs 81007|;3.240834;6.31109;3.354987
83001; Crosover vs 83009|;3.240764;6.310881;3.354985
86004; BlueNoize |;3.044744;5.933248;3.141997
86005; Shift |;3.382542;6.92636;2.978887
86002; Crosover vs 86006| Shift |;3.381958;6.92508;2.978609
86003; BlueNoize | Shift |;3.161875;6.487525;2.768951
86001; BlueNoize | Shift |;3.161801;6.487355;2.768936
86008; FlikkerNoize | Shift |;2.392385;4.835581;2.217751
