;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
44005; Crosover vs 44006| Crosover vs 44007|;3.23745;6.303395;3.353673
39001; Crosover vs 39009|;3.237762;6.304193;3.353632
45005;;3.237587;6.303792;3.353591
43004;;3.237724;6.30419;3.353506
43003;;3.237724;6.30419;3.353506
43005;;3.237947;6.304759;3.353489
35001; Crosover vs 35009|;3.236789;6.301922;3.353433
44009;;3.237928;6.304767;3.35342
44003;;3.237822;6.304501;3.353388
40004;;3.237685;6.304207;3.353366
43009;;3.23778;6.304442;3.353357
45010; BlueNoize |;3.031259;5.905693;3.138746
45006; BlueNoize |;3.031458;5.906271;3.138628
45003; BlueNoize |;3.031424;5.906353;3.138451
45002; BlueNoize |;3.030987;5.905286;3.138405
45004; Shift |;3.387773;7.043366;2.833414
45008; Shift |;3.387773;7.043366;2.833414
45001; Shift |;3.387632;7.043591;2.832545
45009; BlueNoize | Shift |;3.177072;6.609111;2.650966
45007; BlueNoize | Shift |;3.176948;6.609557;2.649834
