;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
14005;;3.238939;6.307786;3.352788
17008;;3.249062;6.335755;3.349612
20010;;3.239983;6.313472;3.348396
16006; Crosover vs 16004|;3.225048;6.278042;3.346874
19010;;3.245203;6.328717;3.345819
16004; Crosover vs 16008| Crosover vs 16006|;3.259836;6.368417;3.34271
19004; Crosover vs 19006|;3.235642;6.307856;3.342459
20008;;3.250571;6.344785;3.342352
18008;;3.240777;6.320862;3.340478
16002;;3.240777;6.320862;3.340478
21001; Crosover vs 21009| Shift |;3.360468;6.883177;2.963326
21002; Shift |;3.358903;6.887197;2.953419
21007; Shift |;3.55005;7.513202;2.732651
21008; Shift |;3.548796;7.51185;2.730019
21003; Crosover vs 21006| Shift |;3.54641;7.509169;2.724801
21004; BlueNoize | Shift |;3.237572;6.855307;2.48656
21006; Crosover vs 21003| FlikkerNoize |;3.039228;6.84767;1.604529
21005; FlikkerNoize | Shift |;2.117015;4.705449;1.301103
21009; Crosover vs 21001| FlikkerNoize | Shift |;2.120494;4.716162;1.298191
21010; FlikkerNoize | Shift |;2.12324;4.72377;1.297498
