;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
14005;;3.238939;6.307786;3.352788
17008;;3.249062;6.335755;3.349612
16006; Crosover vs 16004|;3.225048;6.278042;3.346874
16004; Crosover vs 16008| Crosover vs 16006|;3.259836;6.368417;3.34271
16002;;3.240777;6.320862;3.340478
9007;;3.266461;6.386299;3.33758
11004;;3.268736;6.396688;3.334078
16009;;3.267407;6.393818;3.333051
14002; Crosover vs 14010|;3.233377;6.310085;3.332955
12002;;3.211921;6.260229;3.326795
11005; Crosover vs 11008|;3.198466;6.23258;3.317203
17006; BlueNoize |;3.072107;6.012236;3.130144
17002; Crosover vs 17004| Shift |;3.45769;7.27936;2.741484
17007; Crosover vs 17009| Shift |;3.46738;7.311587;2.731617
17005; Shift |;3.478483;7.344515;2.724341
17010; Shift |;3.479404;7.356438;2.70907
17004; Crosover vs 17002| FlikkerNoize |;3.010445;6.550535;1.962902
17009; Crosover vs 17007| FlikkerNoize |;3.00932;6.547549;1.962308
17003; FlikkerNoize |;3.008516;6.547634;1.961186
17001; FlikkerNoize | Shift |;2.640111;5.698419;1.860971
