;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
74010; Crosover vs 74001| Crosover vs 74007|;3.241477;6.312554;3.355186
95005;;3.241338;6.312196;3.355165
89006; Crosover vs 89001|;3.2412;6.311843;3.355136
92006;;3.241161;6.311752;3.355125
96003;;3.241158;6.311754;3.355122
93003; Crosover vs 93010|;3.241214;6.311927;3.355121
92003; Crosover vs 92002|;3.241198;6.311881;3.35512
92002; Crosover vs 92003| Crosover vs 92004|;3.241155;6.311759;3.355117
91001; Crosover vs 91005| Crosover vs 91010|;3.241122;6.311659;3.355113
87010;;3.24117;6.311844;3.355099
95001; Crosover vs 95009|;3.241187;6.311892;3.355098
96008; Crosover vs 96004| BlueNoize |;2.979734;5.808171;3.0782
96004; Crosover vs 96008| Shift |;3.452601;7.268667;2.741395
96009; Crosover vs 96001| Shift |;3.452558;7.268665;2.741224
96001; Crosover vs 96009| Shift |;3.452441;7.268476;2.741058
96006; Shift |;3.452452;7.268522;2.741029
96002; BlueNoize | Shift |;3.178911;6.696383;2.516902
96010; FlikkerNoize | Shift |;2.752705;6.264625;1.323312
96005; FlikkerNoize | Shift |;2.752801;6.264904;1.323191
96007; FlikkerNoize | Shift |;2.752616;6.264538;1.322968
