;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
48003; Crosover vs 48001| Crosover vs 48010|;3.239782;6.308638;3.354618
50008;;3.238626;6.305985;3.354193
52003;;3.238118;6.304872;3.353951
49001; Crosover vs 49003|;3.238161;6.305102;3.353944
52007; Crosover vs 52010|;3.23782;6.304263;3.353825
44005; Crosover vs 44006| Crosover vs 44007|;3.23745;6.303395;3.353673
47005;;3.237606;6.30379;3.353657
48002; Crosover vs 48006|;3.23749;6.30351;3.353649
47007;;3.237519;6.303594;3.353633
39001; Crosover vs 39009|;3.237762;6.304193;3.353632
52002; Crosover vs 52006|;3.238005;6.304778;3.353628
47009; Crosover vs 47001|;3.237521;6.303621;3.353601
45005;;3.237587;6.303792;3.353591
52010; Crosover vs 52007| Shift |;3.29109;6.473861;3.295162
52006; Crosover vs 52002| Shift |;3.290979;6.474103;3.294434
52004; BlueNoize |;2.983779;5.809546;3.092957
52005; BlueNoize |;2.983188;5.808158;3.092754
52009; BlueNoize | Shift |;3.034918;5.972929;3.035673
52001; BlueNoize | Shift |;3.035105;5.973724;3.035232
52008; FlikkerNoize | Shift |;2.863885;6.80391;0.8368721
