Generathion:;#36
ID = ;36002;24005;36001;35006;35009;36008;36004;25003;36005;30005;33003;32004;35010;32001;32008;36003;36007;36009;36010;36006;FURIER ID = ;36002;24005;36001;35006;35009;36008;36004;25003;36005;30005;33003;32004;35010;32001;32008;36003;36007;36009;36010;36006;
father ID = ;35009;23007;35009;24005;30005;35010;35006;23005;25003;25003;25003;30010;32001;26006;30005;32008;32008;35010;35006;33003;father ID = ;35009;23007;35009;24005;30005;35010;35006;23005;25003;25003;25003;30010;32001;26006;30005;32008;32008;35010;35006;33003;
mother ID = ;24005;19003;24005;32004;33003;33003;30005;24005;32008;22003;31004;30005;32008;28001;26002;35006;25003;33003;35009;25003;mother ID = ;24005;19003;24005;32004;33003;33003;30005;24005;32008;22003;31004;30005;32008;28001;26002;35006;25003;33003;35009;25003;
Mutation = ; Crosover vs 36010|; Crosover vs 24009| Shift |; Crosover vs 36003| Crosover vs 36009|;;; Crosover vs 36003|;;;; Crosover vs 30006|; Shift |;;; Crosover vs 32006|;; Crosover vs 36001| Crosover vs 36008|; BlueNoize |; Crosover vs 36001| Shift |; Crosover vs 36002| Shift |; FlikkerNoize | Shift |;Mutation = ;
0.006373459;0.005944559;0.006305146;0.01815795;0.006641617;0.0086208;0.02247185;0.02015556;0.02531463;0.0267692;-0.01369662;0.0302488;0.0309669;0.03149331;0.03043847;0.02463252;0.02312619;0.1121058;0.1177741;0.1379449;;;;;;;;;;;;;;;;;;;;;;
0.01198504;0.01192079;0.01192032;0.02322185;0.01188117;0.01373019;0.02720221;0.02508486;0.02984177;0.03116251;-0.007777002;0.03436621;0.0350638;0.03556816;0.03455714;0.02922131;0.01126157;0.1143234;0.1195385;0.1024537;;;;;;;;;;;;;;;;;;;;;;
0.02124709;0.02495651;0.0211883;0.03172497;0.01735741;0.01855419;0.03407229;0.03292799;0.03572312;0.03639451;-0.002230208;0.03827934;0.03897405;0.03947702;0.03846852;0.03542518;0.0490223;0.1227204;0.1243915;0.09700967;;;;;;;;;;;;;;;;;;;;;;
0.02567681;0.02911532;0.02562086;0.03539411;0.02205223;0.02319139;0.03756034;0.03652984;0.03910671;0.03969889;0.003706144;0.04143403;0.04212853;0.04262517;0.04162913;0.03883819;0.02513606;0.1248001;0.1263833;0.1054805;;;;;;;;;;;;;;;;;;;;;;
0.02924274;0.03172049;0.02918907;0.0382102;0.02657423;0.02775674;0.04044772;0.03937541;0.04203655;0.04265544;0.009650175;0.04444205;0.04513447;0.0456268;0.04463918;0.04174967;0.1158176;0.1413147;0.1400852;0.06149458;;;;;;;;;;;;;;;;;;;;;;
0.03447883;0.03531106;0.03442852;0.04158289;0.03344897;0.03462104;0.04373753;0.04271556;0.04527591;0.04585993;0.01997712;0.0475741;0.04826439;0.04875239;0.04777323;0.04500127;-0.03159735;0.1419042;0.1408299;0.09447329;;;;;;;;;;;;;;;;;;;;;;
0.03853584;0.03896347;0.03848812;0.04534955;0.03790525;0.03909247;0.04754102;0.04648512;0.049087;0.04969746;0.0249108;0.05142958;0.05209656;0.05256915;0.05162054;0.04880617;0.04435753;0.1433167;0.1508394;0.07614211;;;;;;;;;;;;;;;;;;;;;;
0.04711412;0.04261588;0.04707189;0.05780773;0.05139814;0.05374233;0.06312935;0.06021424;0.06656412;0.06840446;0.03276165;0.07260947;0.07296552;0.07310491;0.07282133;0.06562649;0.06809971;0.1426766;0.149773;0.05906056;;;;;;;;;;;;;;;;;;;;;;
0.05087591;0.04682035;0.05083609;0.06126865;0.05471231;0.05695482;0.06632009;0.06356014;0.06958406;0.07132266;0.03636667;0.07530348;0.07565831;0.07580052;0.07551111;0.06870016;0.06057951;0.1418682;0.1480587;0.03382956;;;;;;;;;;;;;;;;;;;;;;
0.06832549;0.07562263;0.06829686;0.07862327;0.0607863;0.06135992;0.07955599;0.07925227;0.08033029;0.08043007;0.03921459;0.08109334;0.08144621;0.08159059;0.08129649;0.08026386;0.09706486;0.1469499;0.1492873;0.04259795;;;;;;;;;;;;;;;;;;;;;;
0.0708927;0.07809073;0.07086571;0.08076442;0.06344923;0.06398983;0.0815765;0.08134996;0.08228283;0.08232845;0.04255763;0.08289307;0.08325887;0.0834111;0.08310117;0.08223569;0.07380515;0.1454431;0.1470547;0.03578936;;;;;;;;;;;;;;;;;;;;;;
0.07372852;0.0805588;0.07370334;0.08327252;0.06664908;0.06722693;0.08409422;0.08387121;0.08481525;0.08485393;0.04633035;0.0854243;0.08583221;0.08601756;0.08564121;0.08475839;0.1268041;0.1505276;0.1479326;0.03546119;;;;;;;;;;;;;;;;;;;;;;
0.07832946;0.08208692;0.07830723;0.08470353;0.0743168;0.07492286;0.08548704;0.08529855;0.08619712;0.08620754;0.06006898;0.08674851;0.0871808;0.08738018;0.0869757;0.08614038;0.04511023;0.1468616;0.144198;0.06518721;;;;;;;;;;;;;;;;;;;;;;
0.08080035;0.0842695;0.0807797;0.08682834;0.07707276;0.07768376;0.08758803;0.08741454;0.08828369;0.08828317;0.06341787;0.08880122;0.0892444;0.08945303;0.08902992;0.08822876;0.06508487;0.1418049;0.1390588;0.07958906;;;;;;;;;;;;;;;;;;;;;;
0.08605313;0.08552361;0.08603586;0.0888042;0.08631732;0.08705993;0.08982067;0.08948112;0.0906562;0.09077094;0.07912602;0.09148549;0.09191744;0.09212375;0.09170509;0.09055302;0.1427525;0.1366826;0.1335833;0.1106687;;;;;;;;;;;;;;;;;;;;;;
