Номер Поколения;Среднее значение критической точки;Дисперсия;СКО;Коэфф. Стьюдента;Ошибка среднего;Начало Дов. Интервала;Конец  Дов. Интервала;Доверительная вероятность;Кол-во измерений;
0;0;0;0;1.96;0;0;0;0.95;0;
1;395.148;58634.57;242.1458;1.96;2.707272;389.8418;400.4543;0.95;8000;
2;388.8221;58338.63;241.5339;1.96;2.700431;383.5293;394.115;0.95;8000;
3;393.1114;56661.51;238.0368;1.96;2.661332;387.8952;398.3276;0.95;8000;
4;395.9085;55760.68;236.137;1.96;2.640092;390.7339;401.0831;0.95;8000;
5;392.6335;56464.82;237.6233;1.96;2.656709;387.4264;397.8407;0.95;8000;
6;396.9196;55748.93;236.1121;1.96;2.639814;391.7456;402.0937;0.95;8000;
7;395.7159;55968.85;236.5774;1.96;2.645015;390.5316;400.9001;0.95;8000;
8;393.6909;55729.87;236.0717;1.96;2.639362;388.5177;398.864;0.95;8000;
9;387.3514;56898.55;238.5342;1.96;2.666893;382.1243;392.5785;0.95;8000;
10;390.6875;56228.85;237.1262;1.96;2.651152;385.4912;395.8838;0.95;8000;
11;393.4134;55272.19;235.1004;1.96;2.628502;388.2615;398.5652;0.95;8000;
12;393.4936;56041.31;236.7305;1.96;2.646727;388.306;398.6812;0.95;8000;
13;387.6233;56065.34;236.7812;1.96;2.647295;382.4346;392.812;0.95;8000;
14;389.3291;55800.65;236.2216;1.96;2.641038;384.1527;394.5056;0.95;8000;
15;390.1942;57368.23;239.5167;1.96;2.677878;384.9456;395.4429;0.95;8000;
16;386.3881;55517.48;235.6215;1.96;2.634328;381.2249;391.5514;0.95;8000;
17;388.3794;55728.29;236.0684;1.96;2.639325;383.2063;393.5524;0.95;8000;
18;385.2465;56476.98;237.6489;1.96;2.656995;380.0388;390.4542;0.95;8000;
19;387.2613;56959.93;238.6628;1.96;2.668331;382.0313;392.4912;0.95;8000;
20;386.536;58703.36;242.2878;1.96;2.70886;381.2267;391.8454;0.95;8000;
21;391.6981;58799.3;242.4857;1.96;2.711072;386.3844;397.0118;0.95;8000;
22;392.5812;58891.29;242.6753;1.96;2.713192;387.2634;397.8991;0.95;8000;
23;389.4835;58177.52;241.2002;1.96;2.6967;384.198;394.769;0.95;8000;
24;393.1042;58355.56;241.569;1.96;2.700823;387.8106;398.3979;0.95;8000;
25;391.327;59055.03;243.0124;1.96;2.716961;386.0017;396.6523;0.95;8000;
26;393.1053;58491.68;241.8505;1.96;2.703971;387.8055;398.405;0.95;8000;
27;392.1114;58829.76;242.5485;1.96;2.711774;386.7963;397.4265;0.95;8000;
28;394.7476;59265.02;243.4441;1.96;2.721788;389.4129;400.0823;0.95;8000;
29;393.922;58148.92;241.1409;1.96;2.696037;388.6378;399.2062;0.95;8000;
30;396.3813;59501;243.9283;1.96;2.727201;391.0359;401.7266;0.95;8000;
31;394.0035;58715.6;242.313;1.96;2.709142;388.6936;399.3134;0.95;8000;
32;395.1534;58175.32;241.1956;1.96;2.696649;389.868;400.4388;0.95;8000;
33;393.5791;58563.05;241.998;1.96;2.705621;388.2761;398.8821;0.95;8000;
34;395.1567;58705.23;242.2916;1.96;2.708903;389.8473;400.4662;0.95;8000;
35;394.3081;57766.93;240.3475;1.96;2.687167;389.0413;399.575;0.95;8000;
36;396.1429;58395.35;241.6513;1.96;2.701744;390.8475;401.4383;0.95;8000;
37;396.4922;59747.6;244.4332;1.96;2.732846;391.1359;401.8486;0.95;8000;
38;392.3796;59624.71;244.1817;1.96;2.730035;387.0288;397.7305;0.95;8000;
39;391.7754;59812.21;244.5653;1.96;2.734324;386.4161;397.1346;0.95;8000;
40;391.9204;59898.9;244.7425;1.96;2.736305;386.5572;397.2835;0.95;8000;
41;386.9454;59976.99;244.902;1.96;2.738088;381.5787;392.312;0.95;8000;
42;388.16;59909.68;244.7645;1.96;2.736551;382.7964;393.5237;0.95;8000;
43;386.7307;58983.97;242.8662;1.96;2.715326;381.4087;392.0528;0.95;8000;
44;390.2356;59551.7;244.0322;1.96;2.728363;384.888;395.5832;0.95;8000;
45;387.1432;60181.69;245.3196;1.96;2.742756;381.7675;392.519;0.95;8000;
46;389.111;59523.41;243.9742;1.96;2.727715;383.7647;394.4573;0.95;8000;
47;396.0986;59218.29;243.3481;1.96;2.720714;390.766;401.4312;0.95;8000;
48;390.3966;59353.59;243.6259;1.96;2.72382;385.058;395.7353;0.95;8000;
49;391.3742;59553.4;244.0356;1.96;2.728401;386.0266;396.7219;0.95;8000;
50;389.1964;59985.34;244.9191;1.96;2.738278;383.8293;394.5634;0.95;8000;
51;394.3394;59478.33;243.8818;1.96;2.726681;388.9951;399.6837;0.95;8000;
52;390.7061;59947.9;244.8426;1.96;2.737424;385.3408;396.0715;0.95;8000;
53;393.9847;59664.79;244.2638;1.96;2.730952;388.6321;399.3374;0.95;8000;
54;390.2201;60493.54;245.9543;1.96;2.749853;384.8304;395.6098;0.95;8000;
55;388.3641;60057.89;245.0671;1.96;2.739934;382.9939;393.7344;0.95;8000;
56;388.1494;58314.74;241.4845;1.96;2.699878;382.8576;393.4411;0.95;8000;
57;388.1094;60768.83;246.5134;1.96;2.756103;382.7074;393.5114;0.95;8000;
58;389.5156;59442.51;243.8083;1.96;2.72586;384.1729;394.8583;0.95;8000;
59;391.8545;58799.44;242.4859;1.96;2.711075;386.5408;397.1682;0.95;8000;
60;393.6942;59741.93;244.4216;1.96;2.732717;388.3381;399.0504;0.95;8000;
61;387.9685;59040.9;242.9833;1.96;2.716636;382.6439;393.2931;0.95;8000;
62;390.2437;59850.04;244.6427;1.96;2.735188;384.8828;395.6047;0.95;8000;
63;389.2192;58593;242.0599;1.96;2.706312;383.9149;394.5236;0.95;8000;
