;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
82003;;2.770005;5.066205;3.481194
87002; Crosover vs 87009|;2.770005;5.066205;3.481194
86005;;2.770006;5.066206;3.481193
86009;;2.770006;5.066206;3.481193
90007; Crosover vs 90009|;2.770006;5.066206;3.481193
91006;;2.770005;5.066204;3.481193
69007;;2.770006;5.066207;3.481193
86007;;2.770006;5.066206;3.481193
85004;;2.770005;5.066205;3.481193
93010; Crosover vs 93004| Crosover vs 93007|;2.770006;5.066206;3.481193
93002; Crosover vs 93005|;2.770005;5.066204;3.481193
93004; Crosover vs 93010|;2.770006;5.066206;3.481193
93008;;2.770006;5.066206;3.481193
76003; Crosover vs 76009| Crosover vs 76010|;2.770005;5.066203;3.481193
93006; Shift |;2.858138;5.367851;3.375063
93007; Crosover vs 93010| Shift |;2.858139;5.367853;3.375062
93005; Crosover vs 93002| BlueNoize | Shift |;2.657646;5.002134;3.127136
93003; FlikkerNoize |;2.511741;5.449969;1.756498
93009; FlikkerNoize | Shift |;2.184968;5.147988;0.7622671
93001; FlikkerNoize | Shift |;2.184968;5.147989;0.7622668
