;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
68002; Crosover vs 68007|;2.770009;5.066215;3.481193
66003; Crosover vs 66007|;2.770001;5.066194;3.481193
68004;;2.770003;5.066198;3.481192
67006;;2.770004;5.066202;3.481192
68010;;2.770003;5.066198;3.481192
68008; Crosover vs 68009|;2.770001;5.066194;3.481192
68003;;2.770005;5.066206;3.481192
64001; Crosover vs 64010|;2.769975;5.06613;3.481192
62002; Crosover vs 62006|;2.770007;5.06621;3.481192
68009; Crosover vs 68008|;2.769996;5.066183;3.481192
46006; Crosover vs 46008|;2.770151;5.066568;3.481192
65001;;2.770063;5.066349;3.481191
62007;;2.769985;5.066155;3.481191
59007; Crosover vs 59002|;2.769978;5.066137;3.481191
65008;;2.770035;5.066279;3.481191
63001;;2.769989;5.066164;3.481191
68001; BlueNoize |;2.562338;4.686816;3.217921
68005; Shift | Crosover vs 68007|;3.29703;7.026516;2.477755
68007; Crosover vs 68002| Crosover vs 68005|;2.880667;6.377591;1.764202
68006; FlikkerNoize | Shift |;2.453549;5.760098;0.8264834
