;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
82003;;2.770005;5.066205;3.481194
69007;;2.770006;5.066207;3.481193
84007;;2.770005;5.066204;3.481193
81009; Crosover vs 81001|;2.770005;5.066203;3.481193
78009; Crosover vs 78006|;2.770001;5.066195;3.481193
76003; Crosover vs 76009| Crosover vs 76010|;2.770005;5.066203;3.481193
83004; Crosover vs 83008|;2.770009;5.066215;3.481193
76010; Crosover vs 76003|;2.770005;5.066206;3.481193
81010; Crosover vs 81001|;2.770007;5.066209;3.481193
81002; Crosover vs 81006|;2.77001;5.066216;3.481193
68002; Crosover vs 68007|;2.770009;5.066215;3.481193
84010;;2.770004;5.066202;3.481193
84004; BlueNoize |;2.590935;4.734441;3.260857
84003; BlueNoize |;2.590932;4.734435;3.260856
84005; BlueNoize |;2.590932;4.734435;3.260856
84006; Shift |;2.928046;5.974164;2.730195
84001; Shift |;2.928046;5.974164;2.730194
84009; Shift |;2.928045;5.974163;2.730192
84002; FlikkerNoize | Shift |;2.196655;4.733679;1.698487
84008; FlikkerNoize | Shift |;2.196655;4.733679;1.698486
