;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
20010;;2.756826;5.041426;3.465654
16003;;2.768075;5.071878;3.463877
19001; Crosover vs 19010|;2.743971;5.009965;3.462397
20006;;2.738298;4.996701;3.459942
7003;;2.78127;5.110246;3.458122
18003; Crosover vs 18005|;2.731939;4.982302;3.456672
18001; Crosover vs 18009|;2.780077;5.110832;3.45303
13003;;2.745173;5.020081;3.452334
19007; Crosover vs 19008|;2.77694;5.103607;3.451241
18010;;2.781693;5.117588;3.44894
16001; Crosover vs 16010|;2.758109;5.057113;3.447893
19009; Shift |;2.778459;5.117724;3.442222
20007; BlueNoize |;2.513199;4.591311;3.167885
20003; BlueNoize |;2.513199;4.591311;3.167885
20001; Shift |;2.962605;6.005684;2.817691
20009; Shift |;2.918888;5.913376;2.778182
20004; Shift |;2.911609;5.909534;2.756289
20008; Crosover vs 20002|;3.138704;6.485961;2.735846
20005; BlueNoize | Shift |;2.731195;5.542215;2.588858
20002; Shift | Crosover vs 20008|;2.858711;6.096702;2.253356
