;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
82003;;2.770005;5.066205;3.481194
87002; Crosover vs 87009|;2.770005;5.066205;3.481194
85004;;2.770005;5.066205;3.481193
86005;;2.770006;5.066206;3.481193
86009;;2.770006;5.066206;3.481193
90007; Crosover vs 90009|;2.770006;5.066206;3.481193
91006;;2.770005;5.066204;3.481193
69007;;2.770006;5.066207;3.481193
86007;;2.770006;5.066206;3.481193
93010; Crosover vs 93004| Crosover vs 93007|;2.770006;5.066206;3.481193
94002;;2.770006;5.066206;3.481193
94003;;2.770006;5.066206;3.481193
94006; Crosover vs 94010|;2.770006;5.066206;3.481193
94001; Crosover vs 94010| Shift |;2.778085;5.122057;3.437237
94010; Crosover vs 94001| Crosover vs 94006| Shift |;2.778086;5.122058;3.437236
94004; BlueNoize |;2.550042;4.660378;3.207901
94007; BlueNoize |;2.550043;4.660379;3.207901
94005; BlueNoize | Shift |;2.563568;4.750927;3.137312
94009; FlikkerNoize |;2.973154;6.503025;2.02339
94008; FlikkerNoize |;2.973155;6.503026;2.023389
