;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
29007;;2.769261;5.064646;3.480712
31007;;2.768933;5.065745;3.477113
27003; Crosover vs 27006| Shift |;2.754292;5.032638;3.469547
28006;;2.7554;5.035919;3.468906
27010; Crosover vs 27001| Shift |;2.756307;5.038915;3.467934
27007; Crosover vs 27009|;2.763832;5.058682;3.466713
28004;;2.763249;5.057346;3.466467
22007;;2.762656;5.056001;3.466198
25009;;2.759792;5.048808;3.466022
30007;;2.760071;5.049521;3.46602
29010;;2.760348;5.050228;3.466012
31002; BlueNoize |;2.550696;4.669444;3.199123
31010; BlueNoize | Shift |;2.61829;4.856265;3.178401
31009; BlueNoize | Shift |;2.618789;4.858129;3.177461
31004; Shift | Crosover vs 31006|;2.640073;5.477282;2.29933
31001; FlikkerNoize |;2.770612;6.017434;1.930173
31008; FlikkerNoize |;2.767374;6.00966;1.929431
31006; Crosover vs 31004|;2.641274;5.774771;1.775708
31005; Crosover vs 31003| Shift |;2.566103;5.732388;1.581233
31003; FlikkerNoize | Shift | Crosover vs 31005|;2.807341;6.605445;1.019726
