1001;состояние1_k-1.sig;0.4843645
1001;состояние1_k-2.sig;0.2249859
1001;состояние1_k-3.sig;0.1921914
1001;состояние1_k-4.sig;0.6752602
1001;состояние1_k-5.sig;1.260939
1001;состояние1_k-6.sig;1.889491
1001;состояние1_k-7.sig;2.519278
1001;состояние1_k-8.sig;3.108599
1001;состояние1_k-9.sig;3.618989
1001;состояние1_k-10.sig;4.014936
1001;состояние1_k-11.sig;4.278119
1001;состояние1_k-12.sig;4.385719
1001;состояние1_k-13.sig;4.334208
1001;состояние1_k-14.sig;4.128374
1001;состояние1_k-15.sig;3.782212
1001;состояние1_k-16.sig;3.318796
1001;состояние1_k-17.sig;2.767151
1001;состояние1_k-18.sig;2.161113
1001;состояние1_k-19.sig;1.53691
1001;состояние1_k-20.sig;0.9315511
1002;состояние1_k-1.sig;0.2618694
1002;состояние1_k-2.sig;0.3356408
1002;состояние1_k-3.sig;0.9888649
1002;состояние1_k-4.sig;1.737545
1002;состояние1_k-5.sig;2.55499
1002;состояние1_k-6.sig;3.399468
1002;состояние1_k-7.sig;4.21985
1002;состояние1_k-8.sig;4.961996
1002;состояние1_k-9.sig;5.578656
1002;состояние1_k-10.sig;6.024702
1002;состояние1_k-11.sig;6.270107
1002;состояние1_k-12.sig;6.297079
1002;состояние1_k-13.sig;6.104261
1002;состояние1_k-14.sig;5.702596
1002;состояние1_k-15.sig;5.117918
1002;состояние1_k-16.sig;4.38854
1002;состояние1_k-17.sig;3.561491
1002;состояние1_k-18.sig;2.687371
1002;состояние1_k-19.sig;1.822148
1002;состояние1_k-20.sig;1.020036
1003;состояние1_k-1.sig;2.354225
1003;состояние1_k-2.sig;2.101612
1003;состояние1_k-3.sig;1.909507
1003;состояние1_k-4.sig;1.730903
1003;состояние1_k-5.sig;1.614113
1003;состояние1_k-6.sig;1.650422
1003;состояние1_k-7.sig;1.85219
1003;состояние1_k-8.sig;2.229335
1003;состояние1_k-9.sig;2.76507
1003;состояние1_k-10.sig;3.186775
1003;состояние1_k-11.sig;3.401235
1003;состояние1_k-12.sig;3.378418
1003;состояние1_k-13.sig;3.109721
1003;состояние1_k-14.sig;2.599532
1003;состояние1_k-15.sig;2.049322
1003;состояние1_k-16.sig;1.7026
1003;состояние1_k-17.sig;1.614113
1003;состояние1_k-18.sig;1.828848
1003;состояние1_k-19.sig;2.384743
1003;состояние1_k-20.sig;1.83798
1004;состояние1_k-1.sig;0.4544835
1004;состояние1_k-2.sig;1.213416
1004;состояние1_k-3.sig;2.061918
1004;состояние1_k-4.sig;2.81157
1004;состояние1_k-5.sig;3.436521
1004;состояние1_k-6.sig;3.916783
1004;состояние1_k-7.sig;4.238164
1004;состояние1_k-8.sig;4.394363
1004;состояние1_k-9.sig;4.38637
1004;состояние1_k-10.sig;4.220396
1004;состояние1_k-11.sig;3.918748
1004;состояние1_k-12.sig;3.496096
1004;состояние1_k-13.sig;2.981304
1004;состояние1_k-14.sig;2.404476
1004;состояние1_k-15.sig;1.797412
1004;состояние1_k-16.sig;1.192791
1004;состояние1_k-17.sig;0.627252
1004;состояние1_k-18.sig;0.4082075
1004;состояние1_k-19.sig;0.4155066
1004;состояние1_k-20.sig;0.6553904
1005;состояние1_k-1.sig;2.069889
1005;состояние1_k-2.sig;1.505921
1005;состояние1_k-3.sig;1.192453
1005;состояние1_k-4.sig;1.081308
1005;состояние1_k-5.sig;1.170115
1005;состояние1_k-6.sig;1.407036
1005;состояние1_k-7.sig;1.799128
1005;состояние1_k-8.sig;2.112838
1005;состояние1_k-9.sig;2.297556
1005;состояние1_k-10.sig;2.340457
1005;состояние1_k-11.sig;2.247983
1005;состояние1_k-12.sig;2.018778
1005;состояние1_k-13.sig;1.665658
1005;состояние1_k-14.sig;1.318739
1005;состояние1_k-15.sig;1.126013
1005;состояние1_k-16.sig;1.093045
1005;состояние1_k-17.sig;1.210439
1005;состояние1_k-18.sig;1.452695
1005;состояние1_k-19.sig;1.719571
1005;состояние1_k-20.sig;1.773311
1006;состояние1_k-1.sig;2.701776
1006;состояние1_k-2.sig;2.253912
1006;состояние1_k-3.sig;1.891709
1006;состояние1_k-4.sig;1.751596
1006;состояние1_k-5.sig;1.655374
1006;состояние1_k-6.sig;1.601797
1006;состояние1_k-7.sig;1.621365
1006;состояние1_k-8.sig;1.708283
1006;состояние1_k-9.sig;1.827698
1006;состояние1_k-10.sig;1.916359
1006;состояние1_k-11.sig;1.937429
1006;состояние1_k-12.sig;1.875084
1006;состояние1_k-13.sig;1.760571
1006;состояние1_k-14.sig;1.649659
1006;состояние1_k-15.sig;1.601797
1006;состояние1_k-16.sig;1.641563
1006;состояние1_k-17.sig;1.732564
1006;состояние1_k-18.sig;1.848551
1006;состояние1_k-19.sig;2.01377
1006;состояние1_k-20.sig;2.022326
1007;состояние1_k-1.sig;0.7888564
1007;состояние1_k-2.sig;1.587867
1007;состояние1_k-3.sig;2.713093
1007;состояние1_k-4.sig;3.71446
1007;состояние1_k-5.sig;4.37009
1007;состояние1_k-6.sig;4.642302
1007;состояние1_k-7.sig;4.52108
1007;состояние1_k-8.sig;4.02444
1007;состояние1_k-9.sig;3.200067
1007;состояние1_k-10.sig;2.171273
1007;состояние1_k-11.sig;1.180892
1007;состояние1_k-12.sig;0.7888564
1007;состояние1_k-13.sig;0.7888564
1007;состояние1_k-14.sig;1.01265
1007;состояние1_k-15.sig;1.819327
1007;состояние1_k-16.sig;2.591138
1007;состояние1_k-17.sig;3.197461
1007;состояние1_k-18.sig;3.499594
1007;состояние1_k-19.sig;3.487413
