;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
19002;;2.831464;4.885349;3.951193
24007;;2.831591;4.886405;3.950317
26003;;2.831655;4.886935;3.949874
23009;;2.831718;4.887465;3.949427
27003;;2.831718;4.887465;3.949427
26001;;2.831781;4.887996;3.948976
26004;;2.831825;4.888549;3.948427
27001; Crosover vs 27008| Crosover vs 27004|;2.831906;4.88941;3.947607
22005;;2.831968;4.889601;3.947604
27006;;2.831682;4.889112;3.947085
20008;;2.832054;4.890728;3.94647
22003; Crosover vs 22004|;2.831631;4.890872;3.944526
19001;;2.832453;4.893957;3.943777
27005; BlueNoize |;2.617049;4.506813;3.661506
27008; Crosover vs 27001| BlueNoize |;2.617097;4.507248;3.661127
27004; Crosover vs 27001| Shift |;2.750279;5.305245;3.090749
27010; Shift |;2.749847;5.30406;3.090734
27002; BlueNoize | Shift |;2.546894;4.92499;2.846069
27009; FlikkerNoize |;2.637371;5.8455;1.745074
27007; FlikkerNoize | Shift |;2.638044;5.87803;1.703801
