;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
4001;;2.977201;5.450343;3.707419
13006;;2.976328;5.45005;3.704259
15006;;2.976112;5.450353;3.702987
11008;;2.975876;5.450805;3.701493
8009;;2.975876;5.450805;3.701493
14002; Crosover vs 14007|;2.976691;5.453645;3.699953
14004; Crosover vs 14007|;2.976431;5.454059;3.69598
14010;;2.975043;5.45299;3.695661
11006;;2.974725;5.454082;3.693192
15004; Crosover vs 15005|;2.973544;5.451886;3.69238
16007; BlueNoize | Crosover vs 16010|;2.861926;5.21858;3.590016
16010; Crosover vs 16007|;2.891585;5.311242;3.573765
16005; Crosover vs 16002| BlueNoize |;2.774287;5.071927;3.459463
16002; Crosover vs 16005| Shift |;2.742328;5.486744;2.778428
16008; BlueNoize | Shift |;2.553619;5.114313;2.57627
16001; FlikkerNoize | Shift |;2.763479;5.879809;2.178146
16003; FlikkerNoize | Shift |;2.764134;5.881843;2.177685
16006; FlikkerNoize |;2.813829;6.137105;1.922784
16009; FlikkerNoize |;2.812551;6.13493;1.921118
16004; FlikkerNoize |;2.812394;6.134819;1.920427
