;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
19002;;2.831464;4.885349;3.951193
20008;;2.832054;4.890728;3.94647
19001;;2.832453;4.893957;3.943777
19010;;2.832613;4.896317;3.941298
20010;;2.830052;4.890321;3.94005
21003; Crosover vs 21005|;2.829414;4.889171;3.939016
20005;;2.888571;5.046722;3.938873
21007;;2.841594;4.920489;3.93881
19005;;2.827641;4.887049;3.935812
20002;;2.887903;5.048308;3.934813
19006;;2.827803;4.88944;3.933394
19009;;2.831324;4.899441;3.93264
21001; Crosover vs 21009|;2.773314;4.837039;3.814928
21005; Crosover vs 21003| BlueNoize | Crosover vs 21006|;2.748961;4.768644;3.804263
21009; Crosover vs 21001| Shift |;2.892893;5.216962;3.75553
21010; BlueNoize |;2.668473;4.599034;3.723842
21006; Crosover vs 21005| Shift |;2.764035;4.941145;3.647291
21008; Shift |;2.849482;5.184513;3.638403
21002; FlikkerNoize |;2.561792;5.416939;1.996291
21004; FlikkerNoize |;2.57181;5.452555;1.984959
