;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
84003; Crosover vs 84009|;2.861806;4.953288;3.972687
85004; Crosover vs 85002|;2.861807;4.953291;3.972685
84002; Crosover vs 84007| Crosover vs 84005|;2.861806;4.953288;3.972684
76005;;2.861807;4.953292;3.972684
82002;;2.861807;4.953292;3.972684
83004;;2.861807;4.953292;3.972684
83009;;2.861808;4.953293;3.972684
85003; Crosover vs 85010|;2.861807;4.953292;3.972684
86010;;2.861807;4.953291;3.972684
86006;;2.861807;4.953291;3.972684
84008;;2.861807;4.953292;3.972684
63004; Crosover vs 63005|;2.861808;4.953294;3.972684
86003; Crosover vs 86008|;2.861807;4.953292;3.972684
86002; BlueNoize |;2.642688;4.579452;3.662261
86004; BlueNoize |;2.642688;4.579452;3.66226
86008; Crosover vs 86003| Crosover vs 86007|;2.812431;5.41965;3.076309
86001; Shift |;2.730085;5.337999;2.970577
86005; BlueNoize | Shift |;2.514648;4.902871;2.75606
86007; BlueNoize | Shift | Crosover vs 86008|;2.657807;5.569727;2.264679
86009; FlikkerNoize | Shift |;2.371915;5.293441;1.483835
