;;Фитнесс1;Фитнесс2;Фитнесс3
Фильтр Id;Была ли мутация?;Среднее среди СРЕДНИХ разниц;Среднее среди MAX разниц;Среднее среди ABS(ABS(МАКС) -ABS(МАКС))
19002;;2.831464;4.885349;3.951193
28010;;2.83156;4.886142;3.950537
35001; Crosover vs 35003|;2.831557;4.886133;3.950533
34001; Crosover vs 34009|;2.831563;4.886173;3.950508
32010;;2.831568;4.886207;3.950482
32007; Crosover vs 32005| Crosover vs 32008|;2.831575;4.886271;3.950428
31008;;2.831576;4.886273;3.950427
32005; Crosover vs 32007|;2.831584;4.886303;3.950426
29010; Crosover vs 29005|;2.831595;4.886343;3.95042
35010;;2.831575;4.886293;3.950394
24007;;2.831591;4.886405;3.950317
33005; Crosover vs 33002|;2.831586;4.886413;3.95028
35007; Crosover vs 35004|;2.809243;5.146095;3.513441
35002; Shift |;2.814258;5.206583;3.459411
35003; Crosover vs 35001| Shift |;2.81427;5.206982;3.458976
35004; BlueNoize | Shift | Crosover vs 35007|;2.729672;5.05582;3.361396
35006; FlikkerNoize |;2.559257;5.582773;1.806769
35008; FlikkerNoize |;2.559153;5.5825;1.806749
35009; FlikkerNoize |;2.559144;5.582477;1.806747
35005; FlikkerNoize | Shift |;2.261106;5.223599;1.007412
