Номер поколения; Средний фитнесс1; Средний фитнесс2; Средний фитнесс3; Макс. фитнес 1; Макс. фитнес 2; Макс. фитнес 3
1;2.459493;5.116547;2.10066;3.330408;6.991042;3.068125
2;2.683194;5.617854;2.223437;3.330408;7.315882;3.068125
3;2.626936;5.237256;2.622688;3.330408;6.981496;3.192624
4;2.739488;5.280297;3.028154;3.330408;6.936583;3.291788
5;2.754569;5.20403;3.208723;2.887458;5.604764;3.291788
6;2.728712;5.243046;3.029588;2.871328;5.848303;3.382284
7;2.616282;5.058741;2.844027;2.874623;6.580838;3.458122
8;2.736934;5.270403;3.013549;2.880286;5.884302;3.458122
9;2.732476;5.447053;2.713634;2.903044;6.425642;3.458122
10;2.751045;5.264159;3.099272;2.872583;5.715851;3.458122
11;2.7293;5.296294;2.949463;3.139371;6.723199;3.458122
12;2.699841;5.229128;2.92656;2.892416;5.85066;3.458122
13;2.629746;5.187151;2.665126;2.868548;5.988381;3.458122
14;2.767616;5.336458;3.053406;2.894127;6.269757;3.458122
15;2.724653;5.174851;3.123556;2.858136;5.515372;3.458122
16;2.75078;5.173725;3.238246;2.955923;6.583367;3.463877
17;2.64151;5.196017;2.735018;2.99082;6.419085;3.463877
18;2.745234;5.197976;3.176914;2.872155;5.805035;3.463877
19;2.688023;5.051293;3.166755;2.862542;5.56463;3.463877
20;2.784447;5.293777;3.186416;3.138704;6.485961;3.465654
21;2.752668;5.346855;2.954674;3.098698;6.619545;3.465654
22;2.709514;5.036864;3.27411;2.876103;5.48094;3.466198
23;2.72413;5.075592;3.278946;2.915256;6.18381;3.466198
24;2.642912;5.0981;2.894161;3.062049;6.833978;3.466198
25;2.711723;5.026177;3.297111;2.78127;5.68193;3.466198
26;2.708831;5.225697;2.961621;2.881147;5.974065;3.466198
27;2.728396;4.99425;3.422161;2.768075;5.071878;3.469547
28;2.74153;5.224787;3.118596;2.909962;6.222514;3.469547
29;2.745018;5.306839;2.980663;2.928372;6.039074;3.480712
30;2.74555;5.179834;3.209847;2.896839;6.330502;3.480712
31;2.717735;5.277964;2.912611;2.807341;6.605445;3.480712
32;2.631484;5.077092;2.865962;2.829917;6.028475;3.480712
33;2.752444;5.221636;3.171239;3.074089;6.336462;3.480712
34;2.750892;5.332705;2.976436;3.041274;6.197726;3.480712
35;2.719806;5.340299;2.833952;2.912853;6.200723;3.480712
36;2.783247;5.439927;2.940387;3.126183;6.748222;3.480712
37;2.744652;5.187659;3.200247;2.883673;5.766428;3.480712
38;2.726444;5.099939;3.245426;2.881257;5.772293;3.480712
39;2.723536;5.308379;2.87588;2.873851;6.455867;3.480712
40;2.769262;5.170904;3.296697;2.793678;6.185555;3.481119
41;2.692258;5.067884;3.166429;2.971093;6.044866;3.481119
42;2.747311;5.311361;2.973007;3.116316;6.747968;3.481119
43;2.646441;5.102319;2.922464;2.856546;5.766366;3.481119
44;2.809912;5.438269;3.048326;3.121004;6.739928;3.481119
45;2.758373;5.360404;2.970121;3.169483;6.6199;3.481119
46;2.693335;5.160913;3.009284;3.059412;6.55332;3.481192
47;2.76516;5.163342;3.304517;3.0982;6.638975;3.481192
48;2.738775;5.133708;3.249671;2.923676;5.935635;3.481192
49;2.765617;5.086741;3.436097;2.925847;5.591749;3.481192
